---------------/api/resource---------------
Counter=100Joins=1 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 123 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 125 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 122 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 122 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 116 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 123 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 127 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 128 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 145 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 163 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 128 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 132 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 124 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 122 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 125 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 119 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=1000Joins=1 Response Time = 248 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 132 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 130 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 145 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 143 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 143 ms | ResponseCode : 200
